timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599108319223,416,Reset Search Employee Info ,200,OK,Thread Group 1-1,text,true,,13835,541,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList/reset/68,415,0,0
1599108319639,833,Launch PIM Page,200,OK,Thread Group 1-1,text,true,,15374,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,262,0,0
1599108319639,262,Launch PIM Page-0,302,Found,Thread Group 1-1,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,262,0,0
1599108319901,571,Launch PIM Page-1,200,OK,Thread Group 1-1,text,true,,13835,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,571,0,0
1599108319543,1013,Search Employee,200,OK,Thread Group 1-2,text,true,,11872,1257,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1013,0,0
1599108320473,578,Get empsearch__csrf_token,200,OK,Thread Group 1-1,text,true,,13835,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,577,0,0
1599108321053,547,Search Employee,200,OK,Thread Group 1-1,text,true,,12008,1260,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,546,0,0
1599108321602,576,View Employee Info,200,OK,Thread Group 1-1,text,true,,14574,745,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/134,576,0,0
1599108320558,1863,View Employee Info,200,OK,Thread Group 1-2,text,true,,14567,744,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/49,1863,0,0
1599108322179,572,Reset Search Employee Info ,200,OK,Thread Group 1-1,text,true,,13835,543,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList/reset/134,571,0,0
1599108322751,2605,Launch PIM Page,200,OK,Thread Group 1-1,text,true,,15374,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,259,0,0
1599108322751,259,Launch PIM Page-0,302,Found,Thread Group 1-1,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,259,0,0
1599108323011,2345,Launch PIM Page-1,200,OK,Thread Group 1-1,text,true,,13835,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,2344,0,0
1599108322421,3472,Reset Search Employee Info ,200,OK,Thread Group 1-2,text,true,,13834,541,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList/reset/49,3471,0,0
1599108325894,1332,Launch PIM Page,200,OK,Thread Group 1-2,text,true,,15373,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,285,0,0
1599108325894,286,Launch PIM Page-0,302,Found,Thread Group 1-2,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,285,0,0
1599108326180,1046,Launch PIM Page-1,200,OK,Thread Group 1-2,text,true,,13834,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1045,0,0
1599108325357,2439,Get empsearch__csrf_token,200,OK,Thread Group 1-1,text,true,,13835,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,2438,0,0
1599108327797,1033,Search Employee,200,OK,Thread Group 1-1,text,true,,11883,1257,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1033,0,0
1599108327226,1741,Get empsearch__csrf_token,200,OK,Thread Group 1-2,text,true,,13834,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1741,0,0
1599108328969,547,Search Employee,200,OK,Thread Group 1-2,text,true,,11872,1257,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,546,0,0
1599108329517,1001,View Employee Info,200,OK,Thread Group 1-2,text,true,,14567,744,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/49,1000,0,0
1599108328831,2584,View Employee Info,200,OK,Thread Group 1-1,text,true,,14580,745,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/107,2583,0,0
1599108330519,901,Reset Search Employee Info ,200,OK,Thread Group 1-2,text,true,,13834,541,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList/reset/49,901,0,0
1599108331415,1055,Reset Search Employee Info ,200,OK,Thread Group 1-1,text,true,,13835,543,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList/reset/107,1054,0,0
1599108332470,1285,Logout,200,OK,Thread Group 1-1,text,true,,21761,1533,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,257,0,0
1599108332470,257,Logout-0,302,Found,Thread Group 1-1,text,true,,1606,758,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/logout,257,0,0
1599108332728,1027,Logout-1,200,OK,Thread Group 1-1,text,true,,20155,775,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,945,0,0
1599108331421,2450,Launch PIM Page,200,OK,Thread Group 1-2,text,true,,15373,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,543,0,0
1599108331421,543,Launch PIM Page-0,302,Found,Thread Group 1-2,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,543,0,0
1599108331964,1907,Launch PIM Page-1,200,OK,Thread Group 1-2,text,true,,13834,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1907,0,0
1599108333872,1273,Get empsearch__csrf_token,200,OK,Thread Group 1-2,text,true,,13834,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,1273,0,0
1599108333756,1649,Launch Home Page,200,OK,Thread Group 1-1,text,true,,20155,659,2,2,https://opensource-demo.orangehrmlive.com/,1428,0,0
1599108335406,938,Get _csrf_token,200,OK,Thread Group 1-1,text,true,,20155,474,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,717,0,0
1599108335147,2305,Search Employee,200,OK,Thread Group 1-2,text,true,,12057,1257,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,2305,0,0
1599108336345,1320,Login Admin Account  ,200,OK,Thread Group 1-1,text,true,,12268,1912,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,679,0,0
1599108336345,679,Login Admin Account  -0,302,Found,Thread Group 1-1,text,true,,1627,1054,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,679,0,0
1599108337025,640,Login Admin Account  -1,200,OK,Thread Group 1-1,text,true,,10641,858,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,640,0,0
1599108337779,597,Launch Dashboard Page,200,OK,Thread Group 1-1,text,true,,10641,772,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,596,0,0
1599108337454,1002,View Employee Info,200,OK,Thread Group 1-2,text,true,,14560,744,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/68,1002,0,0
